Date,Price,Open,High,Low,Vol.,Change %
2019-06-10,11800.0,11750.0,11850.0,11750.0,3.03M,0.43%
2019-06-11,11700.0,11850.0,11850.0,11700.0,1.20M,-0.85%
2019-06-12,11650.0,11700.0,11800.0,11650.0,556.04K,-0.43%
2019-06-13,11600.0,11650.0,11700.0,11600.0,1.31M,-0.43%
2019-06-14,11650.0,11650.0,11750.0,11600.0,1.14M,0.43%
2019-06-17,11450.0,11650.0,11700.0,11450.0,2.87M,-1.72%
2019-06-18,11200.0,11450.0,11500.0,11200.0,3.53M,-2.18%
2019-06-19,11300.0,11350.0,11400.0,11250.0,1.28M,0.89%
2019-06-20,11500.0,11300.0,11550.0,11300.0,2.74M,1.77%
2019-06-21,11450.0,11600.0,11600.0,11400.0,15.02M,-0.43%
2019-06-24,11700.0,11500.0,11700.0,11500.0,3.16M,2.18%
2019-06-25,11650.0,11700.0,11800.0,11600.0,2.50M,-0.43%
2019-06-26,11500.0,11600.0,11650.0,11500.0,2.82M,-1.29%
2019-06-27,11300.0,11550.0,11550.0,11300.0,3.91M,-1.74%
2019-06-28,11350.0,11350.0,11400.0,11250.0,3.06M,0.44%
2019-07-01,11550.0,11450.0,11600.0,11450.0,4.23M,1.76%
2019-07-02,11450.0,11550.0,11550.0,11400.0,2.53M,-0.87%
2019-07-03,11350.0,11500.0,11500.0,11350.0,2.34M,-0.87%
2019-07-04,11450.0,11400.0,11550.0,11350.0,2.41M,0.88%
2019-07-05,11400.0,11450.0,11500.0,11400.0,2.28M,-0.44%
